"tweet id","username","text"
"1.0104222634333E+18","aruthcao","@PMorenoB @FlavioXSid @limaynardes @Jorge42931348 @AnaBiapax @niceferrante @CatharinaLima7 @mfmMimi @luiztenda @TonyII_1960 @PauloFr61402360 @Jan101871 @Rita_Guim @CambeiroMaria @BetoFontes @LimaDoc @freitas_ivanize @Francoubiratan @Gus_Moreira @CarlitoMoraes @MarcosA05996429 🇧🇷 Motorista de Marighella!!!"
"1.0070595383008E+18","aruthcao","🇧🇷 Exatamente!!! Pra toda lei arrumam uma brecha pra livrar seus pares... Vamos ver que novidades o julgamento de Gleisi nos trará... Os inquéritos do motorista de Marighella já foram arquivados... 🙄 https://t.co/K6Ixqg28jL"
"1.4646142624926E+18","capitaoderrite","A opinião da Veja sobre o Marighella mudou muito depois do filme do Wagner Moura. Percebem como tudo na mídia é divulgado conforme a narrativa que eles querem compor? https://t.co/9tEHrhJTCN"
"1.4076878640838E+18","pastorliomar","Um deputado do Piçol de São Paulo, esquerdopata imundo, deseja trocar o nome da Rodovia Castello Branco por Rodovia Carlos Marighella.
Espero que o deputado @DouglasGarcia e demais deputados paulistas, não permitam que um lixo terrorista e assassino seja homenageado dessa forma!"
"1.5113907297294E+18","filgmartin","Mesmo alguns dos que hoje reconhecem alguns crimes cometidos no passado e em outros países, insistem em negar crimes cometidos aqui e chamam de ""luta pela democracia"" a ação de terroristas, como Marighella, que tentaram implementar no Brasil um regime ditatorial e títere da URSS."
"1.0983662633599E+18","filgmartin","Mistério que só @Aloysio_Nunes, ex-motorista de Marighella e investigado pela Lava-Jato, pode responder: como eu, que nunca prestei o concurso do MRE, poderia ter sido reprovado nele? Aloysio prestará contas à justiça por usar mentiras para denegrir minha atuação profissional. https://t.co/eaoi368Q3a"
"1.5251349371244E+18","leandroruschel","O motorista do Marighella apoiará Lula, quem poderia prever? 🤡

Fica a cada dia mais claro como o PSDB representa uma das maiores fraudes políticas da história brasileira, participando do Teatro das Tesouras. https://t.co/eIlXs2Enmk"
"1.1128344266884E+18","ailtonbenedito","@cinemarkoficial Cinemark, pretextando exercer atividade apolítica, impõe CENSURA POLÍTICA ao filme-documentário: “1964: o Brasil entre armas e livros”. A empresa não viu atividade política no filme político “Lula, o filho do Brasil”, e previsivelmente não a verá no filme político “Marighella”. https://t.co/sI6gTqJPRw"
"1.1128341780501E+18","ailtonbenedito","Cinemark, pretextando exercer atividade apolítica, impõe CENSURA POLÍTICA ao filme-documentário: “1964: o Brasil entre armas e livros”. A empresa não viu atividade política no filme político “Lula, o filho do Brasil”, e previsivelmente não a verá no filme político “Marighella”. https://t.co/rYsRCL1bfS"
"1.1128341175556E+18","ailtonbenedito","@cinemarkoficial Cinemark, pretextando exercer atividade apolítica, impõe CENSURA POLÍTICA ao filme-documentário: “1964: o Brasil entre armas e livros”. A empresa não viu atividade política no filme político “Lula, o filho do Brasil”, e previsivelmente não a verá no filme político “Marighella”. https://t.co/5Js167JMjr"
"1.0972894867472E+18","ailtonbenedito","@bernardopkuster Marighella era tão negro quanto defensor da democracia."
"1.0907123786883E+18","ailtonbenedito","Defensoria Pública da Bahia realiza júri simulado de terrorista Carlos Marighella. O representante da Defensoria cumprirá o papel de defender o réu. Resta ver se o representante do Ministério Público pedirá sua condenação ou absolvição. https://t.co/vUTcJL6rVg"
"1.0504254268023E+18","ailtonbenedito","Carlos Marighella e o manual do terror contra a liberdade. Manual que comunistas-socialistas-esquerdistas-artistas-jornalistas etc. desejam que fique escondido, enquanto culpam todas as pessoas de direita de promover violência. https://t.co/50HatVfg4D"
"1.4526935053909E+18","carlosjordy",".@AdrillesRJorge comenta a polêmica envolvendo o filme do terrorista Marighella e rebate Wagner Moura. https://t.co/EiDaQju5x0"
"1.1950195740659E+18","carlosjordy","Filme do Wagner Moura sobre o terrorista Marighella teve problemas orçamentários (falta de dinheiro público) p/ sua exibição nos cinemas, mas a rede globo matou no peito e vai exibir o filme como série. Levanta a mão quem agora MAIS DO QUE NUNCA vai boicotar a globo?

#GloboLixo"
"1.1899943728232E+18","carlosjordy","Os indignados c/ o AI-5, alegando a afronta à democracia,são os mesmos q aplaudem como heróis Marighella e outros terroristas q assassinavam,sequestravam embaixadores,roubavam bancos e explodiam carros. Ah,mas aí pode,era em nome da “democracia”,a mesma implantada à força em Cuba"
"1.1272885836463E+18","carlosjordy","@mariomagalhaes_ @ParisFilmes Sabe o que foi obscurantismo? O assassinato de Estela Borges Morato, a primeira mulher brasileira e paulista a ser vítima de Marighella, no trabalho árduo contra o terrorismo, em defesa da sociedade, em defesa dos postulados cristãos e da Pátria Brasileira. Assassinada 06/11/69."
"1.1243868421184E+18","carlosjordy","Os ex-ministros de Relações Exteriores Celso Amorim e Aloysio Nunes criticaram o Governo por ter reconhecido Guaidó como presidente da Venezuela. O 1o é petista e foi ministro do governo Lula e o outro foi o motorista de fuga do terrorista Marighella. Precisa dizer alguma coisa?"
"1.1114341046989E+18","carlosjordy","@proftulionit Eu poderia ir também no túmulo de Kozel Filho, morto por Dilma Roussef e seu bando da ALN, ou então no de Estela Borges Morato, investigadora da polícia civil assassinada por Marighella. Vocês têm um conceito moral q dá nojo. Peçam perdão pelos milhões de mortes ao redor do mundo"
"1.110716881953E+18","carlosjordy","MPF então entende q comemorar a contrarrevolução de 64 configura improbidade? E enaltecer terroristas como Marighella? Não vão me calar. Sou deputado e tenho imunidade parlamentar, não podemos ser responsabilizados por votos e opiniões. Basta de ativismo!

https://t.co/Kkb3QN9nJl"
"1.1093486525171E+18","carlosjordy","@RafaM_Pacheco @laryssarrocha Só quem já viveu o mal sabe reconhecer o mal. É isso q meus avós falam dos comunista terroristas como Marighella q roubavam bancos, sequestravam e matavam em nome da causa, e é isso q os poloneses e ucranianos falam sobre os horrores do comunismo q viveram na própria pele."
"1.1093479507932E+18","carlosjordy","@cynaramenezes @Marcelodedois Stálin era de extrema direita 
Mao era de extrema direita
Pol Pot era de extrema direita
Marighella era de extrema direita
Che era de extrema direita
O Freddy Krugger era de extrema direita
Maduro É de extrema direita

Faltou algum para extremar a extrema merda q você falou?"
"1.0980114280517E+18","carlosjordy","Deputado do PSOL faz homenagem a Marighella mais uma vez em plenário colocando-o como um herói. A narrativa mentirosa e hipócrita deles deve ser combatida ou vão reescrever a história mais uma vez.

#MarighellaAssassino https://t.co/WeqoBiZQ33"
"1.0971312215645E+18","carlosjordy","Depois de colocar Seu Jorge como Marighella, agora só falta Wagner Moura colocar Jean Wyllys no papel de Che Guevara. Se um negro pode representar um branco, por que um gay não pode representar um assassino homofóbico? https://t.co/qUEaNU7ugs"
"1.0978694620726E+18","bernardopkuster","@bernardopkuster's account has been withheld in Brazil, Worldwide in response to a legal demand. Learn more."
"1.0978330063483E+18","bernardopkuster","@bernardopkuster's account has been withheld in Brazil, Worldwide in response to a legal demand. Learn more."
"1.0976024760926E+18","bernardopkuster","@bernardopkuster's account has been withheld in Brazil, Worldwide in response to a legal demand. Learn more."
"1.0975200391069E+18","bernardopkuster","@bernardopkuster's account has been withheld in Brazil, Worldwide in response to a legal demand. Learn more."
"1.0975102537789E+18","bernardopkuster","@bernardopkuster's account has been withheld in Brazil, Worldwide in response to a legal demand. Learn more."
"1.0975093309271E+18","bernardopkuster","@bernardopkuster's account has been withheld in Brazil, Worldwide in response to a legal demand. Learn more."
"1.097493763965E+18","bernardopkuster","@bernardopkuster's account has been withheld in Brazil, Worldwide in response to a legal demand. Learn more."
"1.0974686819978E+18","bernardopkuster","@bernardopkuster's account has been withheld in Brazil, Worldwide in response to a legal demand. Learn more."
"1.0971205268694E+18","bernardopkuster","@bernardopkuster's account has been withheld in Brazil, Worldwide in response to a legal demand. Learn more."
"1.0961074363044E+18","bernardopkuster","@bernardopkuster's account has been withheld in Brazil, Worldwide in response to a legal demand. Learn more."
"1.0847914544704E+18","bernardopkuster","@bernardopkuster's account has been withheld in Brazil, Worldwide in response to a legal demand. Learn more."
"1.2178427720294E+18","flaviogordon","“Ninguém precisa gostar do Marighella... mas eu gosto pacas”. https://t.co/JyzDbDBgeM"
"1.2178425250813E+18","flaviogordon","@MarceloLins68 Já entendemos que você gosta do Marighella, pode parar de teatrinho..."
"1.4555996360692E+18","paulocruzphi","Aqui, meu artigo de 2019 sobre a celeuma em torno da escolha de Seu Jorge — que também ajudou a propagar a mentira do guerrilheiro com um “race card” absurdo — para o papel:

https://t.co/hatAeYiVc2"
"1.4555996339385E+18","paulocruzphi","O fato de ser “descendente de escravos” não faz de ninguém automaticamente negro. Ou qualquer um pode ser, até Brilhante Ustra. O que Wagner Moura fez com Marighella foi uma mistificação. Aliás, o próprio biógrafo do guerrilheiro demente sua descendência autodeclarada: (+) https://t.co/Bw9SwByWcS"
"1.441056740511E+18","paulocruzphi","O evangelho de Vieira é pura imanência e fala mansa. O ser humano (o pobre) não é pecador, é oprimido; não há redenção, há luta; não há Graça, há direitos. Jesus é uma espécie de Marighella, e o Evangelho é o Manual do Guerrilheiro Urbano. Celoko, é muita tosqueira, meu Deus."
"1.0982471287056E+18","paulocruzphi","@gabriolaz @patonalaranja https://t.co/R52ozD0iR6"
"1.0982468938413E+18","paulocruzphi","@gabriolaz @patonalaranja Srta., eu não reivindico a branquitude de Marighella, mas que ele seja representado como é: mestiço. Não sou eu, mas o “colorismo” que difere mestiços de pretos. Se ele não era preto, por que caracterizá-lo assim? Qual a intenção? Respondo: brancos fazendo política usando pretos"
"1.0980097742795E+18","paulocruzphi","Meu artigo da semana já está disponível: “Marighella preto é racismo, sim”.

#Marighella 
https://t.co/R52ozD0iR6 https://t.co/pIKUWSYCbI"
"1.0968292641446E+18","paulocruzphi","@ezfegundo Ué, por que os militares tomaram o Poder? O recrudescimento do regime só ocorreu por conta da luta armada na qual pessoas como Marighella se envolveram. Os motivos dessa luta? Os ex-guerrilheiros Gabeira e Eduardo Jorge, por exemplo, explicam, sem mistificação."
